ISBN,library,available,location
9789864799961,台北市立圖書館,不可借,A12民生/一般書庫區
9789863989493,台北市立圖書館,可借,C01總館/虛擬館藏
9786267063866,台北市立圖書館,可借,C01總館/虛擬館藏
9789861755267,台北市立圖書館,可借,C01總館/虛擬館藏
9789573342076,台北市立圖書館,不可借,A12民生/一般書庫區
9789863714101,台北市立圖書館,不可借,A12民生/兒童室
9789576587399,台北市立圖書館,可借,C01總館/虛擬館藏
9789861344454,台北市立圖書館,可借,C01總館/虛擬館藏
9789861344393,台北市立圖書館,不可借,B11永春/一般書庫區
9789861366838,台北市立圖書館,不可借,A14中崙/一般書庫區
9789869866262,台北市立圖書館,可借,C01總館/虛擬館藏
9786263538870,台北市立圖書館,不可借,A12民生/一般書庫區
9786267118634,台北市立圖書館,不可借,A12民生/一般書庫區
9789861755373,台北市立圖書館,可借,C01總館/虛擬館藏
9789861366968,台北市立圖書館,不可借,A12民生/一般書庫區
9789864799961,國資圖,不可借,中興分館(南投)/中興2樓書庫
9789863989493,國資圖,不可借,總館/1樓大廳熱門暨新書區
9789573342076,國資圖,不可借,中興分館(南投)/中興2樓書庫
9789863714101,國資圖,不可借,中興分館(南投)/中興1樓兒童室
9789576587399,國資圖,不可借,中興分館(南投)/中興2樓書庫
9789861344454,國資圖,不可借,中興分館(南投)/中興2樓書庫
9786267650028,國資圖,不可借,黎明分館/黎明2樓書庫
9789861366838,國資圖,不可借,中興分館(南投)/中興4樓青少年閱覽區
9786263538870,國資圖,不可借,黎明分館/黎明3樓書庫
